Time (of day);Time (seconds);Time;Channel0;Channel1;Channel2;Channel3;Channel4;Channel5;Channel6;Channel7
0.509020671;0.000000000;2021-11-24 12:12:59.386;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;24.92;#N/A
0.509031678;0.951000047;2021-11-24 12:13:00.337;#N/A;#N/A;#N/A;24.96;#N/A;#N/A;24.92;#N/A
0.509055579;3.015999659;2021-11-24 12:13:02.402;#N/A;#N/A;#N/A;24.96;#N/A;#N/A;24.92;24.86
0.509065845;3.902999475;2021-11-24 12:13:03.289;24.9;#N/A;#N/A;24.96;#N/A;#N/A;24.92;24.86
0.509077604;4.918999923;2021-11-24 12:13:04.305;24.9;24.78;#N/A;24.96;#N/A;#N/A;24.92;24.86
0.509089363;5.934999743;2021-11-24 12:13:05.321;24.9;24.78;24.76;24.96;#N/A;#N/A;24.92;24.86
0.509101319;6.967999949;2021-11-24 12:13:06.354;24.9;24.78;24.76;24.96;25.54;#N/A;24.92;24.86
0.509101516;6.984999706;2021-11-24 12:13:06.371;24.9;24.78;24.76;24.96;25.54;24.86;24.92;24.86
0.509112141;7.902999781;2021-11-24 12:13:07.289;24.82;24.78;24.76;24.96;25.54;24.86;24.92;24.86
0.509124086;8.934999816;2021-11-24 12:13:08.321;24.82;24.78;24.82;24.96;25.54;24.86;24.92;24.86
0.509124282;8.951999573;2021-11-24 12:13:08.338;24.82;24.78;24.82;25.02;25.54;24.86;24.92;24.86
0.509124468;8.967999788;2021-11-24 12:13:08.354;24.82;24.78;24.82;25.02;25.6;24.86;24.92;24.86
0.509135289;9.902999620;2021-11-24 12:13:09.289;24.7;24.78;24.82;25.02;25.6;24.86;24.92;24.86
0.509135475;9.918999835;2021-11-24 12:13:09.305;24.7;24.68;24.82;25.02;25.6;24.86;24.92;24.86
0.509135845;9.950999636;2021-11-24 12:13:09.337;24.7;24.68;24.82;24.94;25.6;24.86;24.92;24.86
0.509136586;10.014999867;2021-11-24 12:13:09.401;24.7;24.68;24.82;24.94;25.6;24.86;24.92;24.72
0.509146863;10.902999854;2021-11-24 12:13:10.289;24.5;24.68;24.82;24.94;25.6;24.86;24.92;24.72
0.509147049;10.918999440;2021-11-24 12:13:10.305;24.5;24.6;24.82;24.94;25.6;24.86;24.92;24.72
0.509158808;11.934999889;2021-11-24 12:13:11.321;24.5;24.6;24.74;24.94;25.6;24.86;24.92;24.72
0.509159190;11.967999861;2021-11-24 12:13:11.354;24.5;24.6;24.74;24.94;25.54;24.86;24.92;24.72
0.509159375;11.983999447;2021-11-24 12:13:11.370;24.5;24.6;24.74;24.94;25.54;24.92;24.92;24.72
0.509181586;13.902999926;2021-11-24 12:13:13.289;24.44;24.6;24.74;24.94;25.54;24.92;24.92;24.72
0.509193345;14.918999746;2021-11-24 12:13:14.305;24.44;24.66;24.74;24.94;25.54;24.92;24.92;24.72
0.509204734;15.902999765;2021-11-24 12:13:15.289;24.52;24.66;24.74;24.94;25.54;24.92;24.92;24.72
0.509205671;15.983999753;2021-11-24 12:13:15.370;24.52;24.66;24.74;24.94;25.54;24.86;24.92;24.72
0.509216493;16.918999585;2021-11-24 12:13:16.305;24.52;24.72;24.74;24.94;25.54;24.86;24.92;24.72
0.509228252;17.935000034;2021-11-24 12:13:17.321;24.52;24.72;24.8;24.94;25.54;24.86;24.92;24.72
0.509229190;18.016000022;2021-11-24 12:13:17.402;24.52;24.72;24.8;24.94;25.54;24.86;24.92;24.78
0.509239456;18.902999838;2021-11-24 12:13:18.289;24.66;24.72;24.8;24.94;25.54;24.86;24.92;24.78
0.509262975;20.934999478;2021-11-24 12:13:20.321;24.66;24.72;24.74;24.94;25.54;24.86;24.92;24.78
