Time (of day);Time (seconds);Time;Channel0;Channel1;Channel2;Channel3;Channel4;Channel5;Channel6;Channel7;
0.524517974540;0.000003437;2021-11-19 12:35:18.353;24.12;23.94;23.64;24.16;25.24;24.5;27.48;48.02;
0.524518159720;0.016003023;2021-11-19 12:35:18.369;24.12;23.94;23.64;24.16;25.24;24.56;27.48;48.02;
0.524518333332;0.031003067;2021-11-19 12:35:18.384;24.12;23.94;23.64;24.16;25.24;24.56;27.8;48.02;
0.524518518519;0.047003282;2021-11-19 12:35:18.400;24.12;23.94;23.64;24.16;25.24;24.56;27.8;51.68;
0.524529386574;0.986003168;2021-11-19 12:35:19.339;24.12;23.94;23.64;24.24;25.24;24.56;27.8;51.68;
0.524529756942;1.018002969;2021-11-19 12:35:19.371;24.12;23.94;23.64;24.24;25.24;24.64;27.8;51.68;
0.524529953705;1.035003355;2021-11-19 12:35:19.388;24.12;23.94;23.64;24.24;25.24;24.64;28.1;51.68;
0.524530138886;1.051002941;2021-11-19 12:35:19.404;24.12;23.94;23.64;24.24;25.24;24.64;28.1;53.92;
0.524540381943;1.936003044;2021-11-19 12:35:20.289;24.24;23.94;23.64;24.24;25.24;24.64;28.1;53.92;
0.524540567130;1.952003259;2021-11-19 12:35:20.305;24.24;24.06;23.64;24.24;25.24;24.64;28.1;53.92;
0.524540752318;1.968003474;2021-11-19 12:35:20.321;24.24;24.06;23.72;24.24;25.24;24.64;28.1;53.92;
0.524541134262;2.001003446;2021-11-19 12:35:20.354;24.24;24.06;23.72;24.24;25.36;24.64;28.1;53.92;
0.524541307874;2.016003491;2021-11-19 12:35:20.369;24.24;24.06;23.72;24.24;25.36;24.8;28.1;53.92;
0.524541493054;2.032003077;2021-11-19 12:35:20.385;24.24;24.06;23.72;24.24;25.36;24.8;28.46;53.92;
0.524541678242;2.048003292;2021-11-19 12:35:20.401;24.24;24.06;23.72;24.24;25.36;24.8;28.46;56.1;
0.524551956019;2.936003278;2021-11-19 12:35:21.289;24.18;24.06;23.72;24.24;25.36;24.8;28.46;56.1;
0.524552141207;2.952003493;2021-11-19 12:35:21.305;24.18;24;23.72;24.24;25.36;24.8;28.46;56.1;
0.524552326387;2.968003079;2021-11-19 12:35:21.321;24.18;24;23.66;24.24;25.36;24.8;28.46;56.1;
0.524552511575;2.984003294;2021-11-19 12:35:21.337;24.18;24;23.66;24.32;25.36;24.8;28.46;56.1;
0.524552881943;3.016003096;2021-11-19 12:35:21.369;24.18;24;23.66;24.32;25.36;24.9;28.46;56.1;
0.524553067131;3.032003311;2021-11-19 12:35:21.385;24.18;24;23.66;24.32;25.36;24.9;29.08;56.1;
0.524553252311;3.048002897;2021-11-19 12:35:21.401;24.18;24;23.66;24.32;25.36;24.9;29.08;58.94;
0.524564282408;4.001003285;2021-11-19 12:35:22.354;24.18;24;23.66;24.32;25.42;24.9;29.08;58.94;
0.524564467596;4.017003500;2021-11-19 12:35:22.370;24.18;24;23.66;24.32;25.42;25;29.08;58.94;
0.524564652776;4.033003086;2021-11-19 12:35:22.386;24.18;24;23.66;24.32;25.42;25;29.48;58.94;
0.524564837964;4.049003301;2021-11-19 12:35:22.402;24.18;24;23.66;24.32;25.42;25;29.48;65.62;
0.524576041666;5.017003105;2021-11-19 12:35:23.370;24.18;24;23.66;24.32;25.42;25.08;29.48;65.62;
0.524576238429;5.034003491;2021-11-19 12:35:23.387;24.18;24;23.66;24.32;25.42;25.08;29.78;65.62;
0.524576423610;5.050003077;2021-11-19 12:35:23.403;24.18;24;23.66;24.32;25.42;25.08;29.78;68.38;
0.524587233798;5.984003367;2021-11-19 12:35:24.337;24.18;24;23.66;24.38;25.42;25.08;29.78;68.38;
0.524587418979;6.000002953;2021-11-19 12:35:24.353;24.18;24;23.66;24.38;25.48;25.08;29.78;68.38;
0.524587604166;6.016003168;2021-11-19 12:35:24.369;24.18;24;23.66;24.38;25.48;25.14;29.78;68.38;
0.524587800923;6.033002925;2021-11-19 12:35:24.386;24.18;24;23.66;24.38;25.48;25.14;30.06;68.38;
0.524587986110;6.049003140;2021-11-19 12:35:24.402;24.18;24;23.66;24.38;25.48;25.14;30.06;70.74;
