Time (of day);Time (seconds);Time;Channel0;Channel1;Channel2;Channel3;Channel4;Channel5;Channel6;Channel7;
0.450938310;0.000015821;2021-11-18 10:49:21.070;22.24;21.88;21.6;22.1;22.4;23;23.22;23.54;
0.450961250;1.982015733;2021-11-18 10:49:23.052;22.24;21.88;21.6;22.1;22.4;23;23.38;23.54;
0.450961435;1.998015948;2021-11-18 10:49:23.068;22.24;21.88;21.6;22.1;22.4;23;23.38;23.6;
0.450972442;2.949015995;2021-11-18 10:49:24.019;22.24;21.88;21.6;22.1;22.46;23;23.38;23.6;
0.450972627;2.965016210;2021-11-18 10:49:24.035;22.24;21.88;21.6;22.1;22.46;23.1;23.38;23.6;
0.450972812;2.981015796;2021-11-18 10:49:24.051;22.24;21.88;21.6;22.1;22.46;23.1;23.58;23.6;
0.450972998;2.997016011;2021-11-18 10:49:24.067;22.24;21.88;21.6;22.1;22.46;23.1;23.58;26.12;
0.450983819;3.932015843;2021-11-18 10:49:25.002;22.24;21.88;21.6;22.18;22.46;23.1;23.58;26.12;
0.450984387;3.981016030;2021-11-18 10:49:25.051;22.24;21.88;21.6;22.18;22.46;23.1;23.76;26.12;
0.450984572;3.997016245;2021-11-18 10:49:25.067;22.24;21.88;21.6;22.18;22.46;23.1;23.76;27.62;
0.450995035;4.901015817;2021-11-18 10:49:25.971;22.18;21.88;21.6;22.18;22.46;23.1;23.76;27.62;
0.450995775;4.965016049;2021-11-18 10:49:26.035;22.18;21.88;21.6;22.18;22.54;23.1;23.76;27.62;
0.450995961;4.981016264;2021-11-18 10:49:26.051;22.18;21.88;21.6;22.18;22.54;23.22;23.76;27.62;
0.450996146;4.997015850;2021-11-18 10:49:26.067;22.18;21.88;21.6;22.18;22.54;23.22;23.96;27.62;
0.450996331;5.013016065;2021-11-18 10:49:26.083;22.18;21.88;21.6;22.18;22.54;23.22;23.96;29.06;
0.451007361;5.966015824;2021-11-18 10:49:27.036;22.18;21.88;21.6;22.18;22.54;23.28;23.96;29.06;
0.451007546;5.982016039;2021-11-18 10:49:27.052;22.18;21.88;21.6;22.18;22.54;23.28;24.22;29.06;
0.451007755;6.000015967;2021-11-18 10:49:27.070;22.18;21.88;21.6;22.18;22.54;23.28;24.22;30.48;
0.451019120;6.982016273;2021-11-18 10:49:28.052;22.18;21.88;21.6;22.18;22.54;23.28;24.32;30.48;
0.451019329;7.000016201;2021-11-18 10:49:28.070;22.18;21.88;21.6;22.18;22.54;23.28;24.32;33.08;
0.451030509;7.966016292;2021-11-18 10:49:29.036;22.18;21.88;21.6;22.18;22.54;23.36;24.32;33.08;
0.451030694;7.982015878;2021-11-18 10:49:29.052;22.18;21.88;21.6;22.18;22.54;23.36;24.48;33.08;
0.451030880;7.998016093;2021-11-18 10:49:29.068;22.18;21.88;21.6;22.18;22.54;23.36;24.48;34.46;
0.451041701;8.933015925;2021-11-18 10:49:30.003;22.18;21.88;21.6;22.26;22.54;23.36;24.48;34.46;
0.451041887;8.949016140;2021-11-18 10:49:30.019;22.18;21.88;21.6;22.26;22.64;23.36;24.48;34.46;
0.451042072;8.965015726;2021-11-18 10:49:30.035;22.18;21.88;21.6;22.26;22.64;23.46;24.48;34.46;
0.451042257;8.981015941;2021-11-18 10:49:30.051;22.18;21.88;21.6;22.26;22.64;23.46;24.7;34.46;
0.451042442;8.997016156;2021-11-18 10:49:30.067;22.18;21.88;21.6;22.26;22.64;23.46;24.7;36.28;
0.451053090;9.917015944;2021-11-18 10:49:30.987;22.18;21.88;21.68;22.26;22.64;23.46;24.7;36.28;
0.451053275;9.933016159;2021-11-18 10:49:31.003;22.18;21.88;21.68;22.34;22.64;23.46;24.7;36.28;
0.451053657;9.966016131;2021-11-18 10:49:31.036;22.18;21.88;21.68;22.34;22.64;23.8;24.7;36.28;
0.451053854;9.983015888;2021-11-18 10:49:31.053;22.18;21.88;21.68;22.34;22.64;23.8;25.24;36.28;
0.451054051;10.000016273;2021-11-18 10:49:31.070;22.18;21.88;21.68;22.34;22.64;23.8;25.24;38.06;
0.451064294;10.885015748;2021-11-18 10:49:31.955;22.24;21.88;21.68;22.34;22.64;23.8;25.24;38.06;
0.451064479;10.901015963;2021-11-18 10:49:31.971;22.24;21.94;21.68;22.34;22.64;23.8;25.24;38.06;
0.451064664;10.917016178;2021-11-18 10:49:31.987;22.24;21.94;21.74;22.34;22.64;23.8;25.24;38.06;
0.451065035;10.949015979;2021-11-18 10:49:32.019;22.24;21.94;21.74;22.34;22.8;23.8;25.24;38.06;
0.451065220;10.965016194;2021-11-18 10:49:32.035;22.24;21.94;21.74;22.34;22.8;24.06;25.24;38.06;
0.451065440;10.984016292;2021-11-18 10:49:32.054;22.24;21.94;21.74;22.34;22.8;24.06;25.76;38.06;
0.451065625;11.000015878;2021-11-18 10:49:32.070;22.24;21.94;21.74;22.34;22.8;24.06;25.76;41.72;
0.451075868;11.885015981;2021-11-18 10:49:32.955;22.34;21.94;21.74;22.34;22.8;24.06;25.76;41.72;
0.451076053;11.901016196;2021-11-18 10:49:32.971;22.34;22;21.74;22.34;22.8;24.06;25.76;41.72;
0.451076238;11.917015783;2021-11-18 10:49:32.987;22.34;22;21.8;22.34;22.8;24.06;25.76;41.72;
0.451076424;11.933015998;2021-11-18 10:49:33.003;22.34;22;21.8;22.52;22.8;24.06;25.76;41.72;
0.451076609;11.949016213;2021-11-18 10:49:33.019;22.34;22;21.8;22.52;22.96;24.06;25.76;41.72;
0.451076794;11.965015799;2021-11-18 10:49:33.035;22.34;22;21.8;22.52;22.96;24.42;25.76;41.72;
0.451076979;11.981016014;2021-11-18 10:49:33.051;22.34;22;21.8;22.52;22.96;24.42;26.32;41.72;
0.451077164;11.997016229;2021-11-18 10:49:33.067;22.34;22;21.8;22.52;22.96;24.42;26.32;44.08;
0.451087442;12.885016215;2021-11-18 10:49:33.955;22.4;22;21.8;22.52;22.96;24.42;26.32;44.08;
0.451087627;12.901015802;2021-11-18 10:49:33.971;22.4;22.06;21.8;22.52;22.96;24.42;26.32;44.08;
0.451087813;12.917016016;2021-11-18 10:49:33.987;22.4;22.06;21.88;22.52;22.96;24.42;26.32;44.08;
0.451087998;12.933016231;2021-11-18 10:49:34.003;22.4;22.06;21.88;22.8;22.96;24.42;26.32;44.08;
0.451088183;12.949015818;2021-11-18 10:49:34.019;22.4;22.06;21.88;22.8;23.24;24.42;26.32;44.08;
0.451088368;12.965016033;2021-11-18 10:49:34.035;22.4;22.06;21.88;22.8;23.24;24.76;26.32;44.08;
0.451088553;12.981016248;2021-11-18 10:49:34.051;22.4;22.06;21.88;22.8;23.24;24.76;26.96;44.08;
0.451088738;12.997015834;2021-11-18 10:49:34.067;22.4;22.06;21.88;22.8;23.24;24.76;26.96;46.86;
0.451099560;13.932016295;2021-11-18 10:49:35.002;22.4;22.06;21.88;23;23.24;24.76;26.96;46.86;
0.451099745;13.948015881;2021-11-18 10:49:35.018;22.4;22.06;21.88;23;23.36;24.76;26.96;46.86;
0.451099931;13.964016096;2021-11-18 10:49:35.034;22.4;22.06;21.88;23;23.36;25.44;26.96;46.86;
0.451100116;13.980016311;2021-11-18 10:49:35.050;22.4;22.06;21.88;23;23.36;25.44;28.3;46.86;
0.451100301;13.996015897;2021-11-18 10:49:35.066;22.4;22.06;21.88;23;23.36;25.44;28.3;49.9;
0.451110775;14.901016269;2021-11-18 10:49:35.971;22.48;22.06;21.88;23;23.36;25.44;28.3;49.9;
0.451110961;14.917015855;2021-11-18 10:49:35.987;22.48;22.12;21.88;23;23.36;25.44;28.3;49.9;
0.451111146;14.933016070;2021-11-18 10:49:36.003;22.48;22.12;21.96;23;23.36;25.44;28.3;49.9;
0.451111331;14.949016285;2021-11-18 10:49:36.019;22.48;22.12;21.96;23.1;23.36;25.44;28.3;49.9;
0.451111516;14.965015872;2021-11-18 10:49:36.035;22.48;22.12;21.96;23.1;23.5;25.44;28.3;49.9;
0.451111701;14.981016087;2021-11-18 10:49:36.051;22.48;22.12;21.96;23.1;23.5;25.7;28.3;49.9;
0.451111887;14.997016302;2021-11-18 10:49:36.067;22.48;22.12;21.96;23.1;23.5;25.7;28.92;49.9;
0.451112072;15.013015888;2021-11-18 10:49:36.083;22.48;22.12;21.96;23.1;23.5;25.7;28.92;56.74;
0.451122350;15.901015874;2021-11-18 10:49:36.971;22.48;22.2;21.96;23.1;23.5;25.7;28.92;56.74;
0.451122535;15.917016089;2021-11-18 10:49:36.987;22.48;22.2;22.02;23.1;23.5;25.7;28.92;56.74;
0.451122720;15.933016304;2021-11-18 10:49:37.003;22.48;22.2;22.02;23.24;23.5;25.7;28.92;56.74;
0.451122905;15.949015890;2021-11-18 10:49:37.019;22.48;22.2;22.02;23.24;23.6;25.7;28.92;56.74;
0.451123090;15.965016105;2021-11-18 10:49:37.035;22.48;22.2;22.02;23.24;23.6;25.98;28.92;56.74;
0.451123275;15.981015692;2021-11-18 10:49:37.051;22.48;22.2;22.02;23.24;23.6;25.98;29.46;56.74;
0.451123461;15.997015907;2021-11-18 10:49:37.067;22.48;22.2;22.02;23.24;23.6;25.98;29.46;60.66;
0.451134294;16.933015909;2021-11-18 10:49:38.003;22.48;22.2;22.02;23.4;23.6;25.98;29.46;60.66;
0.451134479;16.949016124;2021-11-18 10:49:38.019;22.48;22.2;22.02;23.4;23.76;25.98;29.46;60.66;
0.451134664;16.965015711;2021-11-18 10:49:38.035;22.48;22.2;22.02;23.4;23.76;26.22;29.46;60.66;
0.451134850;16.981015925;2021-11-18 10:49:38.051;22.48;22.2;22.02;23.4;23.76;26.22;30;60.66;
0.451135046;16.998016311;2021-11-18 10:49:38.068;22.48;22.2;22.02;23.4;23.76;26.22;30;65.16;
0.451145313;17.885016127;2021-11-18 10:49:38.955;22.54;22.2;22.02;23.4;23.76;26.22;30;65.16;
0.451146053;17.949015729;2021-11-18 10:49:39.019;22.54;22.2;22.02;23.4;23.84;26.22;30;65.16;
0.451146238;17.965015944;2021-11-18 10:49:39.035;22.54;22.2;22.02;23.4;23.84;26.64;30;65.16;
0.451146424;17.981016159;2021-11-18 10:49:39.051;22.54;22.2;22.02;23.4;23.84;26.64;30.8;65.16;
0.451146597;17.996016204;2021-11-18 10:49:39.066;22.54;22.2;22.02;23.4;23.84;26.64;30.8;69.26;
0.451157454;18.934015919;2021-11-18 10:49:40.004;22.54;22.2;22.02;23.48;23.84;26.64;30.8;69.26;
0.451157824;18.966015720;2021-11-18 10:49:40.036;22.54;22.2;22.02;23.48;23.84;26.8;30.8;69.26;
0.451158009;18.982015935;2021-11-18 10:49:40.052;22.54;22.2;22.02;23.48;23.84;26.8;31.26;69.26;
0.451158194;18.998016150;2021-11-18 10:49:40.068;22.54;22.2;22.02;23.48;23.84;26.8;31.26;248.66;
0.451169213;19.950015739;2021-11-18 10:49:41.020;22.54;22.2;22.02;23.48;23.9;26.8;31.26;248.66;
0.451169398;19.966015954;2021-11-18 10:49:41.036;22.54;22.2;22.02;23.48;23.9;26.92;31.26;248.66;
0.451169583;19.982016169;2021-11-18 10:49:41.052;22.54;22.2;22.02;23.48;23.9;26.92;31.7;248.66;
